id,text
PMC7433868,"Descriptive analysis—General characteristics and periodontal status of the study groupThe eligible population was comprised of 244 women, but 29 refused to participate in the study leading to a participation rate of 88%."
PMC8455219,"Among them, there were 28 females and 27 males in the study group: ages of 61–78 (69.13 ± 4.21) years with 21 cases of left eye disease and 21 cases of right eye disease."
PMC8455219,"In the control group, there were 26 females and 29 males: ages of 63–76 (68.89 ± 4.27) years with 20 cases of left eye disease and 22 cases of right eye disease."
PMC3915242,"Subjects and methodsSubjectsTen healthy right-handed subjects (6 males, 4 females; mean age 27.8 ± 2.5 years, range 24–32) with no history of neurological, physical, or psychiatric illness were recruited for this study."
PMC2243149,"The specimens were from 42- to 85-year-old patients (median age: 71 years), 14 men and 7 women."
PMC2635530,"Materials and methodsHuman adipose tissue and adipocyte cell culture.Subcutaneous and omental WAT was obtained from 3 (1 male, 2 female) obese subjects (BMI 43 ± 6) undergoing gastroplasty (provided by Dr John Pinkney)."
PMC6552370,"Stimulus materialsUsing a Google Images search, we developed a collection of 25 female body stimulus photos for this study, varying in muscularity, fitness, weight, leanness, and covering a wide range of female physiques (Figure 2)."
PMC6486592,MethodsParticipantsThe present sample included 119 males from a high-security correctional institution in Connecticut.
PMC9160983,"CMV-negative donations of human milk [screened by polymerase chain reaction (Roche Cobas 6800)] from 20 women were collected, thawed overnight at 4°C, and pooled into one of 10 glass flasks to mimic milk bank practices."
PMC9316851,Clinical Characteristics of the Study PopulationA total of 103 woman aged from 48 to 99 years old with different type of endometrial cancer and full clinical history were included in this study.
PMC9316851,It was also noticed that 97% of women in the study group were obese or overweight (BMI > 30).
PMC4837607,"MATERIAL AND METHODSPatientsFifteen patients (8 males and 7 females, aged from 48 to 66 years, with a mean of 58 [5.2] years), with a severely atrophied posterior maxilla, participated in this study."
PMC4464891,"We determined the Y-chromosome haplogroup of male individuals 1 and 6 to be Q1a3a* (xM3), and Q1a3a1* (Q-M3) for individual 2."
PMC5626981,"163 participants were included in the analysis (121 female; age 18–45 years, mean = 23.9, standard deviation = 5.3; highest completed education range from 2 to 6; education median = 4)."
PMC6447322,"This module involves relevant factors that border on coitus, intake of dietary and avoiding sex without offending your spouse among others.Maternal Health Care in NigeriaAccording to Okeke et al., (2016) Women and their health have largely been influenced by the African traditional culture."
PMC4960535,"Both groups had similar age (Physicians: M = 34.8, SD = 9.9; Operators: M = 37.7, SD = 8.7) and gender distributions (Physicians: 17 (50%) female (50%); Operators: 32 (64%) female)."
PMC4960535,"Five experimenters (male: 5) controlled the participants’ interaction with the VPs, all physicians experienced in EMS triage and in professional training of triage dispatchers."
PMC4088297,A sample size calculation indicated the need for 64 subjects in each group with a power of 80%.A total of 150 pregnant women were recruited for the study.
PMC4088297,"During Ramadan, we measured glucose levels for the 76 women during fasting and at 1 hour postprandial."
PMC4088297,"In the 74 control women who were not studied during Ramadan, we measured fasting blood glucose levels early in the morning, after bed, and at 1 hour postprandial after their main meal.Collected data were analyzed using SPSS version 19."
PMC5010252,The Bt20 longitudinal study began in 1990 with the enrolment of 3 273 pregnant women in the greater Johannesburg metropolitan region.
PMC5010252,"Thus, 702 women volunteered to participate, and underwent an informed consent process."
PMC3223210,In the panel 49% of subjects were male and 51% female.
PMC6898811,"Increases in CVD hospitalization rates among Asian men and women were similarly modest, with changes of 51% from 19.9 to 30.1 per 100 men, and 68%, from 15.6 to 26.2 per 100 women during this period."
PMC6898811,"For whites, rates increased by 32% (55.6 to 73.5 per 100) and 38% (50.1 to 69.3 per 100) for men and women, respectively, between 2001 and 2006."
PMC5504934,"The majority was females, 26 (81.25%), and there were 6 males (18.75%)."
PMC6467019,"Furthermore, among these 575 patients, 445 patients were male, while 130 patients were female."
PMC5596071,"To detect a difference of 4% between men and women, for change inV˙O2max, with alpha = 0.05 and a power of 95%, >53 participants were required."
PMC7710071,"Materials and methodsSixteen young adults (11 females, 5 males) aged between 19 and 34 years (mean ± SD, 24.8 ± 4.1 years) were recruited for the study."
PMC8654670,The compositions of fracture‐dislocations between male and female for 5 years were analyzed by a Pearson chi‐square test.
PMC2391083,Nine males and 11 females were included.
PMC8113314,"Six-month data were available for 128 women with 14 participants discontinued or lost to follow-up and an additional 7 participants missing follow-up blood draws (76 intervention group, 52 control group) (Fig.1).Pearson correlation coefficients were used to examine baseline associations."
PMC9223037,"At the end of the data cleaning procedures, the final sample included 244 Italian students (60 males (24.60%) and 184 females (75.40%)) attending various university degrees courses."
PMC2743699,"Seven females (ages 25-47, mean age 36.7) and 13 males (ages 25-53, mean age 31.2) volunteered."
PMC8800625,"There was no significant difference in gender, total protein, albumin, fasting blood glucose, and cholesterol levels between the two groups (P> 0.05) as shown inFigure 7.According to the research standards, a total of 529 people participated in this study, including 178 men and 51 women."
PMC8800625,"Among them, there are 250 people in the normal category (81 males, 167 females), 72 people in the sarcopenia group (26 males, 46 females), and 154 people in the simple obesity group (72 males, 82 females)."
PMC8800625,There were 56 obese people with sarcopenia (20 males and 36 females).
PMC3954791,"Materials and MethodsThirty three paid participants (21 female, 12 male; mean age = 21.4 years) from CCNU took part in Experiment 4."
PMC3954791,"An additional 30 paid participants (11 female, 19 male; mean age = 21.7 years) from CCNU took part in Experiment 5."
PMC7023899,"Statistical MethodsA study conducted by Getpook et al in 111 premenopausal Thai women demonstrated a rate of abnormal endometrial pathology of 17.1%.10The study excluded patients with some risk factors such as nulliparous, diabetes, hypertension, but did not eliminate obese women."
PMC4978454,The Average diet was adapted from survey data from 2010 on Nutritional Behaviour and Food Consumption in France (Comportement et Consommation Alimentaire en France) to approximate food consumption of an adult French man [21].
PMC3675796,We examined nutrient availability using USDA reference standards that represented 2 typical clients: a moderately active man and woman aged 40.
PMC1552074,"The 25 samples were from 12 patients infected with Beijing strains (8 males, 66.7%; mean age, 52, SD, 14) and 13 patients infected with non-Beijing strains (5 males, 38.5%; mean age, 48, SD, 21)."
PMC5886752,"1)Gender AnalysisAs can be observed inTables 1and2, weight and height estimations are more accurate if the Gender parameter (1 for male and 0 for female subjects) is considered."
PMC2816200,2000Brasília Legal98(13.5)0.6-71.8>50%Women(10.8)Men(17.1)Dolbec et al.
PMC2816200,1997Brasília Legal96(12.9)>50%Women(11.2)44.7% of total mealsMen(15.7)43.9% of total mealsLebel et al.
PMC9357922,"The cut-offs for this study were based on Europid values, and were: waist circumference >94 cm (men) and >80 cm (women) and for WHR, the value for men was ≥0.90 and ≥0.85 cm for women (22).Statistical analysis followed three steps."
PMC8052874,"A total of 178 persons (male 82, female 96) attended the community mental health clinics.Maximum cases were major depressive disorder (14.6%), followed by somatoform pain disorder (14.0%), posttraumatic stress disorder-animal attack related (9.6%), and adjustment disorder (9%)."
PMC8052874,"One-tenth (9%) of the males were nicotine dependent, while it was 3% in females."
PMC3120711,"The samples were from deceased individuals with an average age at death for females of 82 ± 7 years (mean ± SD, n = 29) and for males of 81 ± 8 (n = 24)."
PMC7356604,"Prior to individual follow-up visits, patients were not allowed to take painkillers during periods when their use could affect the examination result.The group of 40 patients consisted of 36 women and 4 men, aged 18–69 years (43 years on average)."
PMC7926615,"Characterization of the Study Population by High CPIA total of 11,359 Korean adults (4984 men and 6375 women) were included in this study, of which, 30.4% had high CPI (CPI 3–4) (Table 1)."
PMC4568901,"From February 2010to July 2013, 32 consecutive patients (22 females and 10 males) with a facialasymmetry of the soft tissues after trauma, tumor resection, congenital deformities,and previous surgical treatment of abscess were screened to our Department (Table1)."
PMC4171590,"Materials and methodsThis examination was performed on 67 autopsied human fetuses of both sexes (35 males, 32 females) of white racial origin, which had been derived from spontaneous abortions or stillbirths during the years 1989–1999, as a result of placental insufficiency."
PMC2682582,"There were 10 males and 12 females, with an age range between 27 and 69 years."
PMC8934774,"In consideration of a cancellation rate of 20%, we planned to enroll 165 women in each group.The primary outcome was analyzed according to the intention-to-treat principle."
PMC3192762,"MethodsStudy populationsThe array cohortFor the miRNA array study population we selected a cohort of 12 Caucasian male patients with CAD at a young age (premature CAD) and a positive family history of premature cardiovascular disease (CVD), seeDefinitions S1."
PMC3192762,"Data collection was done 3.9±2.0 years after the diagnosis of CAD.The control cohort was composed of 12 healthy Caucasian male volunteers, who were recruited by advertisement and who were matched with the cases for age and smoking habits."
PMC2804609,"MethodsWe recruited 30 women undergoing frozen-thawed embryo transfer (FET) during a natural menstrual cycle between May 2004 and February 2008 in the Assisted Reproduction Unit of the Department of Obstetrics and Gynecology, Oulu University Hospital, Finland."
PMC7113469,"Materials and MethodsThis study was conducted in a tertiary care institute between March 2017 and February 2019 at Sawai Man Singh Medical College, Jaipur, India."
PMC8701976,"Among the employees, the median age was 32 years, and 21% were men."
PMC6616576,[19] also performed autologous transplantation in 16 female baboons.
PMC6616576,"After two autologous transplantations in cynomolgus macaques, a re-establishment of the hormone cycle was observed in the two females, after 5 h and 25 min of total ischemia in one female and 7 h 7 min of total ischemia in the other."
PMC6591705,"MethodsParticipantsThe sample comprised 70 participants (11 females) with cocaine use disorder, of whom 38 (54%; consistent with previously reported comorbidity rates) (22) had comorbid personality disorders (11 Borderline, 7 Histrionic, 5 Antisocial, 10 Avoidant, and 5 Obsessive–Compulsive)."
PMC5089968,"There were 152 male and 215 female participants aged between 17 and 27 years (M= 20.37,SD= 1.90)."
PMC5089968,"Forty-five percent of the whole sample, which was 164 students (61 males) with an average age of 20.76 (SD= 2.35), additionally completed three executive functioning tasks and two measures of reasoning."
PMC5089968,"In addition, in order to obtain the test-retest reliability of the revised STS, 97 participants (43 males) from the whole sample completed the STS a second time ~3 months after the first testing session."
PMC4070123,"Materials and MethodsIn this descriptive-analytic study, 205 women between 16 and 40 old years were questioned about secondhand smoke (SHS) exposure during their pregnancy."
PMC7293301,"Among the 773 samples used here, there are 505 males and 268 females."
PMC8521077,"Explorative Factor AnalysisThe sub-sample for EFA was composed of 828 participants (males = 302; females = 526), with a mean age of 25.15 (SD = 11.03)."
PMC6812755,"The selected study was chosen to match the study populations as far as possible with regard to subject characteristics (6 healthy young men), the time interval between the biopsies (2.5 h) and array platform (Affymetrix Human Gene 1.0 ST)."
PMC3159132,"Eligible patients were men and women, 30 to 75 years of age, in primary or secondary prevention of coronary heart disease, who had an indication for lipid-lowering therapy in accordance with the National Cholesterol Education Program/Adult Treatment Panel (NCEP/ATP III) guidelines [1]."
PMC2695430,"Gender and nationality differences were evident, with more men (42.7%, n = 269) suffering than women (34%, n = 269) and more Somali (48.1%, n = 248) than Rwandese (32%, n = 290)."
PMC2695430,Beating by spouse (*for women)111 (7.8)189319 (1.3)2174.
PMC2695430,Forced circumcision *(for women)59 (4.1)5091 (0.1)1014.
PMC8758951,Materials and MethodsA descriptive (cross-sectional) study was carried out with 110 university students (75 males and 35 females) from a physical education program in the Maule Region of Chile.
PMC7771916,"These analyses were performed when the participants were subdivided according to their menopausal status, their ethno-linguistic groups (Bantu, semi-Bantu and Sudano-sao) and their age group (women ≤ 40 years old and those above 40)."
PMC8903604,"Two TD participant met the exclusion criteria threshold (mean age, 7.11 (3.78), number female, 1 (50%), DQ, 133.23 (54.78))."
PMC6312596,"Thirty patients (17 men and 13 women), with an average age of 24 years (range of 18–33 years), underwent SSRO setback mandible and miniplate rigid fixation at the Department of Oral and Maxillofacial Surgery, China Medical University Hospital."
PMC9404378,We excluded 360 women who reported ever working on the night shift and 7 with missing menopausal status (Figure 1).
PMC9404378,We also excluded 661 women who did not respond to the circadian questionnaire and 113 who had missing information on nighttime fasting (Figure 1).
PMC4543474,"This study was approved by the Human Research Ethics Committee of the Alfred Hospital, Western Hospital, and Victoria University, Melbourne, Australia.ParticipantsParticipants were 291 adults with T2DM (192 males, 99 females)."
PMC5183755,[16] randomly selected umbilical cord blood from 24 male and 24 female children from the 1st (<1.74 ng/dL) and 4th (>3.77 ng/dL) quartiles of Pb levels.
PMC9381495,A total of 252 women with HIV at the first or third trimester visit were excluded from analysis.
PMC9381495,We excluded 728 women who did not have a diagnostic test conducted for any of the three pathogens.
PMC8276685,"Thus, the final sample was composed of 948 Italian participants (302 males and 646 females)."
PMC3131543,"MethodsThe study included 132 patients, comprising 105 (79.5%) females and 27 (20.5%) males, giving with a female : male ratio of 4 : 1."
PMC3131543,"Physiotherapy exercise was performed twice daily for 12-18 weeks, with an average of 14 weeks.A control group of 30 age-matched volunteer subjects (18 females and 12 males) was selected."
PMC5968760,49 of the participant were male and 31 female of which 43.8% (26m and 9f) showed no bone metastasis and 56.2% (23m and 22f) had metastatic bone disease.
PMC4515782,"Materials and methodsThe human blood samples about volume 10 ml were collected from 43 patients (8women and 35 men) with ischaemic heart disease, IHD (morbusischaemicus cordis,MIC) fromMedical University of Gdańsk."
PMC9547891,"The serum consists of 3 donors pooled (1 male, 2 female, average age 35 ± 13.1 years).Sprout formation, stimulation with angiogenic factorsHMVEC vessels were cultured for 3 days, in medium with HHS, before a gradient of angiogenic factors was applied."
PMC2734180,"The paid donors were 69% male, 42% Caucasian, 56% African American, and had a mean age of 56 years (range 47–75)."
PMC7920385,Gender was coded 0 = male and 1 = female.
PMC8573477,"The remaining 93 patients (Male = 52, Female = 41) were analyzed in 2 groups: Group 1 (n = 38) comprised of patients who had survival < 2 years, and Group 2 (n = 55) comprised of patients who had survival > 2 years (Figure 1)."
PMC5512405,MATERIALS AND METHODSA total of 120 patients (60 males and 60 females) aged between 7 and 12 years were enrolled into the study.
PMC8863081,"Recidivism was high; 70% of women previously had been in jail, 21% in the prior 6 months."
PMC8863081,"The mean number of prior jail incarcerations (SD) ever was 4.8 (8.4), while 23% of women had previously been in prison."
PMC8743584,"Baseline characteristics of the study participantsThe baseline characteristics of the 40 participants (20 men, 20 women) are shown inTable 1."
PMC6992553,"Unweighted participant ethnicity and sex counts were: 429 Whites, 421 African Americans, 409 Hispanics, with 629 men and 630 women."
PMC6349275,"MPS baseline was 6.5MPS and PRSI score improved associated with pregabalin 150, 300 and 600 mg/day administered TID vs. placebo,P< 0.007Multi-centre pooled data analysis (90% patients white, 58% male)Freynhagen et al."
PMC6966394,"Therefore, the data reported are for 7 patients (2 men, 5 women."
PMC5648236,MethodParticipantsA total of 144 Black American (44% female;Mage= 30.90) were recruited through an online scientific survey pool (www.mturk.com).
PMC3496547,Materials and methodsThe studies were carried out on 114 (50 male and 64 female) colons isolated from human bodies during autopsy.
PMC6512912,Blood was also obtained from an 18 year-old female diagnosed at the Children’s Hospital of Philadelphia with ANRE.
PMC4500006,The main types of sports activities were walking (17 females) and Yoga/Tai Chi (6females).
PMC9541525,"Therefore, the coverage of the Swiss conscription data is considered very high and sample selection bias is not regarded as an issue.The data from 2019 consist of 25 724 male conscripts between 18 and 21 years."
PMC4714408,"Subject selection was random and constituted diverse communities with 349 females, 480 males, and 3 subjects belonging to the other sex."
PMC4221519,The sample of this study were 155 subjects (men: 52 and women: 78) whom had been visited in the Fertility and Infertility Center and selected by convenience sampling [a type of sampling in which members of the population are chosen based on their relative ease of access.
PMC4221519,Psychometric components of the Persian form of this inventory were assessed by Besharat in infertile couples and its reliability was assessed as 0.92 for women and 0.94 for men (31).
PMC7641565,"Active alcoholism was considered as >21 drinks/week in men, and >14 drinks/week in women over the 3 months prior to hospitalization [20]."
PMC7105185,These meta-regression models allowed us to make tables and figures for study groups standardized at 50% females or for males and females separately.
PMC9487419,The glioma specimens were from 10 male and 15 female patients and included 12 low-grade and 13 high-grade gliomas.
PMC5164952,(A) The study cohort includes 402 males with prospectively observedTTPand 35 semen and 5 non‐semen phenotypes.
PMC5522087,"Primary tumor mRNA expression was compared between non-obese (BMI < 30 kg/m2,n= 37) and morbidly obese (BMI ≥ 40 kg/m2,n= 24) women using the Mann-Whitney U test."
PMC3823932,"Among these 21 cases 11 were male and 10 were female patients, mean age was 53·9 years (range 21 to 77) at the time of first operation.As a control, 15 patients undergoing myelography because of spinal stenosis gave their informed consent for CSF withdrawal."
PMC3963104,"Alcohol consumption was divided into groups (reference group: less than 1 g/week in men and women, group 1: less than 210 g/week in men and less than 140 g/week in women, group 2: more than 210 g/week in men and more than 140 g/week in women)."
PMC4997092,"The sample comprised 345 men (37%) and 600 women (63%), and 399 (42%) academic (faculty) staff and 546 (58%) non-academic (professional) staff which is typical of the national Australian profile of academic and non-academic staff (Department of Education Science and Training,2003)."
PMC4262841,"PATIENTS AND METHODSThis study was a cross-sectional study involving 100 women with singleton pregnancy at 24-32 weeks of gestation referred for oral glucose tolerance test (OGTT) at the metabolic clinic of the Jos University Teaching Hospital, located in Plateau State, north-central Nigeria."
PMC4636147,"Prior to imputation, genotype data were phased using SHAPEIT software [29].Analytic SampleOf the 8180 AA and 3322 HP women with genetic data, 1,769 AA and 932 HP women had ≥1 pelvic exams and thus contributed information on POP."
PMC4636147,"Of the 1,769 AA and 932 HP women, 514 AA and 437 HP women had POP (considering any severity of rectocele, cystocele and uterine prolapse) at baseline."
PMC4636147,"During follow-up, 292 AA women and 184 HP women additionally developed POP."
PMC3017442,"For studies of viral transactivation using HEK 293 xenografts, female severe combined immune deficiency beige mice (Charles River, Margate, UK) were injected subcutaneously with 2.5 × 106HEK 293 or E1-negative control PC-3 cells."
PMC5854876,A total of 36 focus group discussions were held (18 with females; 18 with males) across 18 tea gardens (5 Cachar; 5 North Bank; 5 South Bank; 3 Upper Assam).
PMC6822397,Eight partici-pants did not know the type of dementia)Women: 50%Living with someone: 70%AustraliaIndividual semi-structured interviews.
PMC4944728,"A cross-sectional study was carried out involving 732 male and female children, aged between three and five years old, enrolled at 33 private and public preschools in the city of Campina Grande, Brazil."
PMC8710119,"In these maps, only states withn> 100 women in each triennial were included."
PMC6313047,"Specifically, for the 18 men and 18 women, each respective group was divided equally into 2 groups of strong men (or strong women) and less strong men (or less strong women)."
PMC6313047,"That is, the strongest 9 men of the 18 men were placed in the strong men group, while the remaining 9 men of the 18 men were placed into the less strong group, the same was performed for the women."
PMC8719770,"Eighteen cynomolgus monkeys (n= 6 for each group, 3 male and 3 female) were intravenous drip-treated with three single ascending doses of HLX10 (3, 10 and 30 mg/kg) on day 1 of the study."
PMC8990494,"Therefore, we only included 1 young male and 1 young female face."
PMC8875740,"A total of 414 males and 509 females completed the survey.The two other surveys were dedicated cross-sectional studies of 266 employees of a single workplace (152 males and 114 females, age 20–65), who had been vaccinated with the Pfizer-BioNTech vaccine in September 2021."
PMC8927049,Thirty-three trials (1588 participants) reported sex distribution with 1247 males (78.5%) and 341 females (21.5%) respectively.
PMC7764051,"ParticipantsTwenty right-handed healthy participants, 10 younger (age 24 ± 3 years, all male) and 10 older (62 ± 3 years, 3 male) participated in this experiment."
PMC4997360,"Anemia was defined using the World Health Organization cut-offs for hemoglobin of <120 g/L and <130 g/L for women and men, respectively [32]."
PMC2072854,"Subjects and MethodsStudy subjectsOn the basis of previous environmental monitoring data, a total of 101 healthy male workers—all exposed to COEs in a state-run steel company located in northwest China for at least 5 years—were recruited for this study."
PMC3770853,SubjectsThis study was done on 309 men aged over 40 years with a primary complaint of sexual dysfunction such as ED or decreased libido as the main symptom of TDS.
PMC6950576,"The average age of the participants was 20 years old, 42% were men and 58% women."
PMC3933507,"The incorporation of an interpretive feminist perspective allowed for the exploration of gender related oppression and marginalization, and valued the voice of the lived experience of women [15]."
PMC8645929,"In the surgery group, a total of 401 women conducted fresh embryo transfer and 148 women chose frozen embryo transfer, while 200 women opted for fresh embryo transfer and 79 women chose frozen embryo transfer in the non-surgery group."
PMC4540434,"The participant was a 33 year old female (height: 1.72 m, weight: 54.5 kg) who lost her left leg in a traumatic amputation in April 2013."
PMC5851375,"A convenient sample of 48 postmenopausal females were recruited from Kafrel sheikh university hospital, outpatient clinic of obstetrics and gynaecology department.They were enrolled and assessed for their eligibility to participate in the study."
PMC7479367,"Both groups equally relied on themselves to remember to take their treatment (‘naturally [I] remember taking my pills [VLF, woman, 31 years]; [I am] experienced on remembering my time’ [VLS, man, 41 years])."
PMC9498963,Patient were considered to be elderly if they were older than the average life expectancy age in southern Hungary published by the Hungarian Central Statistical Office during the study period: ≥72 years for males and ≥79 years for females [17].
PMC7255626,"In the end, the data of 112 right eyes of 112 individuals (76 men and 36 women) were used for the statistical analyses."
PMC4741767,MATERIALS AND METHODSPatientsThe study cohort consisted of 304 women with locally advanced and MBC who were enrolled in a randomized phase III trial (TEX) conducted between 2002–2007 in Sweden to study the effects of two first-line chemotherapy regimens for MBC.
PMC9373828,"Infant control variables included infant gender (49% male).3.3.Analytic planAll analyses were conducted using SAS Version 9.4, using proc SURVEYLOGISTIC to account for site-clustering-related interdependence."
PMC9454382,"In the final study sample, there were a total of 3098 and 2776 observations from male and female participants, respectively (totaln= 5874)."
PMC9454382,"Each older adult provided two sets of complete responses, with 1549 males and 1388 females participating in the survey."
PMC7437321,"There were 52 males and 22 females, and their age ranged from 40 to 81 years."
PMC8005645,"These were 5 patients with primary progressive MS (PPMS, 2 males, and 3 females) and 5 patients with SPMS (2 males and 3 females) who were between the ages of 42 and 61 at the time of receiving T cell therapy (Table 1)."
PMC6712015,Subjects and methodsSubjectsThe sample consisted of 48 BN women and 44 HC women.
PMC8167472,"A total of 65 patients (54 males, 11 females; mean age: 60.1±11.9 years; range, 34 to 83 years) with Stage IA-IIIA NSCLC who underwent primary surgical treatment and 95 healthy individuals (48 males, 47 females; mean age: 53.9±13.5 years; range, 32 to 87 years) were included."
PMC3474163,"Experimental setup and protocolTwo groups of volunteers composed of six able-bodied subjects each (3 males and 3 females each, whose average age was 25.5 ± 1.8 years old), all with dominant right hand (same as the artificial hand) and naïve to EMG control, were enrolled in this study."
PMC2687688,"MATERIALS AND METHODSSeventy seven Korean patients with CKD (41 males and 36 females, aged 29 to 86, mean age: 61 years), and who were regularly followed at the outpatient clinic of Chung-Ang University Hospital were enrolled in this study between March 2002 and September 2005."
PMC2687688,"Gender, the presence of DM and the usage of ACE inhibitor were represented by dummy variables (1: male, 2: female, 1: presence, 2: absence, 1: usage, 2: non-usage)."
PMC9294149,"There were 266 female, 20 male and two identified as trans men."
PMC7461781,"Of these 13 participants, two were excluded due to technical errors in collecting their WFS data, resulting in a final sample of 11 participants (age:M= 17.02,SD= 1.18, range: aged 14 to 18; 3 female) with TRD."
PMC9387688,"scRNA-seq Analysis of the Human Adult Adrenal GlandsWe performed droplet-based scRNA-seq on human adrenocortical cells collected from 2 adult males, with no apparent abnormalities in adrenocortical tissues, using the 10X Chromium system."
PMC7865790,"In #3, a group of 11 male subjects as enrolled to perform load lifting."
PMC4163260,"In total, 160 women, younger than 40 years of age, with patent fallopian tubes and infertility of more than 1 year, who were candidate for IUI and gonadotropin therapy, were included in this study."
PMC7988190,"This study complies with human subjects guidelines of national research committees as well as the APA Ethics Code Standards.The heterogeneous sample consisted of 170 participants (50% women) from various industries, sizes of organizations, and educational levels."
PMC7659671,"MethodsCadaveric studyOverall, 24 thighs from 12 whole, embalmed human cadavers (six females and 18 males) were obtained from the mortuary of the Medical Sciences Teaching Centre, Department of Physiology, Anatomy, and Genetics, University of Oxford."
PMC8037004,"Low muscle mass was defined according to the EWGSOP2 gender-specific cut-off definitions of the appendicular skeletal muscle mass index (women < 5.5 kg/m2, men < 7 kg/m2) [4].Grip strength was assessed in an upright sitting position using the Martin vigorimeter."
PMC4223375,Such suppositions required sample size of at least 86 women.
PMC8914692,"Thirty-six subjects participated in the experiment, of which 29 subjects were male and seven were female."
PMC6950747,"For these reasons, women have suffered more conflict between work and family than males [61]."
PMC7946227,"Materials and methodsTwenty adult patients with stable plaque psoriasis (9 males, 11 females; median age: 46.3 years) were enrolled in the study after obtaining informed consent."
PMC3999982,"By reducing IL-1β, AVA might have decreased leukocyte invasion and, together with the decrease in neutrophil respiratory burst, protect skeletal muscle from elevated inflammatory status seen among older women [45]."
PMC8688426,"Because measurements of plasma NTproCNP were available only in 28 of these subjects (age range 5–11, 12 male, 16 female), all data presented here apply to this subgroup alone."
PMC2807615,"Mean patient age in this group was 66 years, 53% of patients were male and 47% were female.Group 2 patients underwent cataract extraction following PK with no signs of an endothelial immune reaction (acceptors, n=33)."
PMC2807615,"Mean patient age in this group was 58.5 years, 36% of patients were male and 64% were female.Group 3 (rejectors) included 25 patients following PK presenting with a newly diagnosed endothelial immune reaction."
PMC2807615,"Mean patient age in this group was 48.1 years, 48% of patients were male and 52% were female.All invasive procedures were performed following written informed consent in adherence to the Declaration of Helsinki for research involving human subjects."
PMC3703074,[30]The key informants were 9 MI patients (4 female and 5 male) who were hospitalized in coronary care units (CCUs) of 3 hospitals in Shiraz in the southern Iran.
PMC6974484,The control group (n= 10) received only LDA+LMWH and 11 pregnant women received pravastatin in addition to LDA+LMWH at the onset of preeclampsia and/or FGR (6).
PMC5689229,"The majority were women (69%), spoke a language other than English at home (77%) and had a long‐standing illness or disability (70%)."
PMC8262126,The study was approved by the Human Ethics Committee of the hospital.A total of 57 pregnant women who tested positive for SARS-CoV-2 RNA within 0–3 weeks before delivery at the hospital and consented for participation were included in the study.
PMC8262126,"In addition, two mothers with symptomatic disease 2 months prior to delivery, and 39 pregnant women without a positive PCR test (control mothers) were also studied."
PMC7966915,pp means postpartumbGDM denotes gestational diabetes mellitus (12.9% (n = 69) of women who were multiparous had previous history of GDM)cYes consists of those with first-degree relationship of the participant (e.g.
PMC5404767,"31 subjects (14 females, 17 males; Mean age = 20.5 ±1.1 years) completed the whole study."
PMC5139852,"The patients were 3 men and 11 women aged 30 - 72 years, median 61 years."
PMC5139852,"No patient had prior vocal fold medialization therapy.The control group consisted of 11 normal volunteers, six women and five men aged 29 - 72 years, median 58 years."
PMC3850921,"Of these cases, 43 were males, 8 were females, and the male to female ratio was 5.4:1."
PMC2933711,"Ten mice, 5 female and 5 male, received injections of the experimental cell suspension that produced encoded BMP protein."
PMC2933711,"Ten mice, 5 female and 5 male, received an injection of the control culture that did not encode BMP protein."
PMC8321369,"The majority of participants were compliant (Class 2), with the proportion ranging from 82% in the US to 94% in Canada and UK, and 86% for male and 92% for female."
PMC8321369,"A smaller proportion of individuals were non-compliant (Class 1), with membership ranging from 6% for Canada and UK to 18% for the US, and 14% for males and 8% for females."
PMC9546910,"We excluded 7708 women for the following reasons: those (1) with a chronic metabolic disease with consequences for the metabolism of vitamin D (n = 5389); (2) with a high-risk pregnancy (n = 1087), or (3) who had lived in Kunshan for less than 1 year (n = 1232)."
PMC8833136,"MATERIALS AND METHODSThis cross-sectional study is part of a larger research project focused on men’s health, conducted on 209 men (Mage=35.26, SDage=3.49) from a western, urban population."
PMC8833136,"Thus, the final analyses included 186 healthy men of age between 29.73 and 44.29 years (Mage=35.33, SDage=3.47).ProceduresFasting blood sample was taken between 7:30 a.m. and 9:00 a.m. for blood biochemical and hormone analyses."
PMC4279600,Ten were males and 26 females.
PMC2693508,"The group of dental surgical patients (Group 1) who underwent unilateral lower second or third-molar surgery (extractions) included 62 adults, 34 women and 28 men, ranging in age from 18 to 73 years (mean = 30.1 years)."
PMC2693508,"The group of patients with oral infections (Group 2) included 49 adults, 27 women and 22 men, ranging in age from 18 to 70 years (mean = 31.5 years)."
PMC2693508,"The group of patients with acute tonsillitis (Group 3) included 66 adults, 33 women and 33 men, ranging in age from 18 to 52 years (mean = 25 years)."
PMC6836084,"Assuming a 90% confidence level, margin of error of 10%, and a variability of 10%, the minimum sample size needed was 35 women."
PMC6836084,"Factoring in for incomplete data sets/drop out between visits of 30%, a sample size of 50 women was required to assess the correlation between these measurement methods."
PMC328089,"Since screening guidelines begin at age 20, only the data for the women 20 years and older (1,190) are reported here."
PMC3507840,"The real network is bipartite (145 males and 143 females), but for all the epidemic dynamics in the real and artificial networks we consider all nodes of the same kind, because we assume them to be non directional networks, without distinction between links."
PMC2731886,"In this study, hMSCs from two different donors were used for kinetic profiling of the TMDs and their neighboring protein genes, as shown inFigures 1A,2A,3A,4A and S2: #4F1560 (donor 1; female, 23-year-old, African American) and #4F1301 (donor 2; male, 26-year-old, Caucasian)."
