	journal-id	aff	year	PMCID	tokenized_METHODS
5231	MV		2001	PMC2838735	
5232	Genome Biol		1995	PMC2323243	
5233	ASJ	Department of Orthopaedics, Affiliated Zhongda Hospital of Southeast University, Nanjing, China.	2009	PMC3095805	
5234	Br J Cancer		2002	PMC2361069	
5235	plosone	Tel Aviv University, Israel	1997	PMC3091869	
5236	BMC Bioinformatics		2003	PMC528726	
5237	ploscomp	University of California, Davis, United States of America	2009	PMC3136434	
5238	Environ. Health Perspect		2006i	PMC2599769	
5239	Nucleic Acids Research		2004	PMC1187824	
5240	ploscomp	Northwestern University, United States of America	2001	PMC2730538	
5241	Malar J		2008	PMC3161019	
5242	Biotechnol Lett		2002	PMC2974206	
5243	BMC Bioinformatics		2001	PMC1183189	
5244	Br J Cancer		2000	PMC2747532	
5245	plosone	Charité-Universitätsmedizin Berlin, Germany	2008	PMC2788213	
5246	Mol Pain		2002	PMC1821314	MethodsSubjectsNormal subjects (443 females and 292 males) were evaluated following informed consent under a human research protocol approved by the IRB.
5247	plosone	University of Pittsburgh Medical Center, United States of America	2009	PMC3171447	
5248	J. Exp. Med	 	2001	PMC2212019	
5249	plosbiol	Princeton University, United States of America	1994	PMC1618416	
5250	BMC Biotechnol		2008	PMC2828399	
5251	J Neuroeng Rehabil		2007	PMC2596161	
5252	plosone	Tufts University, United States of America	2010	PMC3012685	
5253	nar		2002	PMC2602783	
5254	Nucleic Acids Research		2004	PMC1079971	
5255	jcb	 	2006	PMC3105541	
5256	BMC Bioinformatics		2003	PMC2695361	
5257	plosone	Brigham & Women's Hospital, and Harvard Medical School, United States of America	2003	PMC3055882	
5258	Retrovirology		2009	PMC2767976	
5259	plosmed		2005	PMC1459482	
5260	J Nanopart Res		2008	PMC2988211	Fifty-one percent (n = 382) of the respondents were male and forty-nine percent (n = 368) were female.
5261	DRT		2005	PMC3123910	PatientsIn total, 40 patients (12 males and 28 females) with treatment resistant depression were included in the T-PEMF revisited study.
5262	molbev		2008	PMC2872621	
5263	BMC Genomics		2007	PMC3082247	
5264	BMC Pharmacol		2009	PMC2778942	
5265	BMC Dev Biol		2003	PMC2217549	
5266	MV		2009	PMC2793904	
5267	J Transl Med		2011	PMC3131255	
5268	BMC Med Ethics		2001	PMC2703640	
5269	nar		2009	PMC3025557	
5270	BMC Bioinformatics		1995	PMC2646250	
5271	plosone	City of Hope, United States of America	2006	PMC3001477	
5272	Immunome Res		1970	PMC2275228	
5273	BMC Bioinformatics		2000	PMC1892811	
5274	Br J Cancer		2008	PMC3008605	
5275	J Mol Evol		1997	PMC2846273	
5276	APM		2009	PMC3169348	PatientsFrom April 2006 to April 2009, 1001 consecutive women attending the Gynaecologic Department of Ramón y Cajal Hospital (Madrid, Spain) were prospectively included in this study.
5277	Cell Death Dis		2003	PMC3032508	
5278	nar		2000	PMC2425467	
5279	BMC Evol Biol		1994	PMC3087517	
5280	J. Cell Biol	 	2002	PMC2172870	
5281	J. Cell Biol	 	2002	PMC2172928	
5282	plosone	University of California, San Francisco, United States of America	2004	PMC1867858	
5283	nar		2008	PMC2566872	
5284	BMC Dev Biol		2004	PMC2754437	
5285	plospath	Harvard Medical School, United States of America	1999	PMC1781477	
5286	Reprod Biol Endocrinol		1997	PMC166170	
5287	Thromb J		2004	PMC3148952	
5288	Reprod Biol Endocrinol		2003	PMC2794867	MethodsSubjectThe subjects were recruited from patients who visited the Department of Obstetrics and Gynecology of the First Affiliated Hospital of Anhui Medical University during December 2005 and December 2006, including 216 PCOS patients and 192 non-PCOS women as a control group.
5289	BMC Cancer		2006	PMC2257957	
5290	JBC	the	2008	PMC3129167	
5291	plosone	University of Texas MD Anderson Cancer Center, United States of America	2001	PMC2948501	
5292	Br J Cancer		1998	PMC2394316	
5293	plosone	University of Western Ontario, Canada	2010	PMC3126840	
5294	J Mol Med		2003	PMC2707858	
5295	Trials		1989	PMC3123563	The general population demographics of patients admitted to WMH include 59% African-Americans and 68% females [27].
5296	BMC Surg		2008	PMC2565653	
5297	BMC Med Genet		2008	PMC2266716	
5298	IJCB		2009	PMC2817379	
5299	Vascular Health and Risk Management		1991	PMC2350126	Patients and methodsWe studied 25 severe RHD patients, 17 males and 8 females who underwent cardiac valvular surgery before 16 years of age, in which 14 (56%) presented an acute RF episode.
5300	plosone	Radboud University Nijmegen, Netherlands	1996	PMC2900203	
5301	Genet Vaccines Ther		2008	PMC3098768	
5302	plospath	National Institutes of Health, United States of America	2001	PMC1796622	
5303	nar		2010	PMC3045616	
5304	Epidemiol Perspect Innov		2009	PMC2913928	
5305	JBB		2008	PMC2688763	
5306	Reprod Biol Endocrinol		2004	PMC2039739	
5307	Br J Cancer		1979	PMC2409804	
5308	nar		2008	PMC2800221	
5309	ImpactJ		2009	PMC3058877	
5310	BMC Evol. Biol		2007	PMC2735741	
5311	nar	Architecture et Réactivité de l'A;RN, Université de Strasbourg, CNRS, IBMC, 15 rue René Descartes, 67084 Strasbourg, France	2005	PMC2811027	
5312	Crit Care		2008	PMC2945140	
5313	BMC Cancer		1999	PMC1555598	
5314	BMC Infect Dis		2006	PMC2649135	
5315	Nat. Chem. Biol.		2005	PMC3129032	
5316	Angiogenesis		2008	PMC3155043	
5317	Front. Psychology		2007	PMC3153814	
5318	bioinfo		1986	PMC2881403	
5319	Br J Cancer		2001	PMC2409959	
5320	Arthritis Res Ther		1989	PMC1779422	
5321	Int J Cardiovasc Imaging		2004	PMC2729416	
5322	Nucleic Acids Research		2005	PMC1345699	
5323	Mol Psychiatry		2008	PMC3030750	Of the 587 participants of phases 1 and 2, 426 were women and 161 were men.
5324	Virol. J		2008	PMC2718874	
5325	plosone	INSERM U901, France	2009	PMC3069086	
5326	MCP	¶Department of Biology and Chemistry, City University of Hong Kong, Tat Chee Ave., Kowloon, Hong Kong, China	2009	PMC2849709	
5327	J. Exp. Med	From the	1991	PMC1887682	
5328	BMC Public Health		2008	PMC3091576	
5329	J Transl Med		2007	PMC2100044	
5330	BMC Dermatol		2003	PMC446203	
5331	Virol J		1997	PMC1475561	
5332	MV		2004	PMC2324120	
5333	plosone	University of Illinois at Chicago, United States of America	2005	PMC3024319	
5334	BMC Public Health		2003	PMC1513385	
5335	BMC Cancer		2002	PMC2739226	
5336	GRP		2006	PMC2706978	
5337	KJO		2002	PMC2817818	
5338	CGGR	Department of Primary Care and Population Sciences, University College London, Hampstead Campus, London NW3 2PF, UK	1966	PMC2819744	
5339	plosone	Duke Unviersity, United States of America	2003	PMC2725291	
5340	J. Exp. Clin. Cancer Res		2008	PMC2846881	
5341	bioinfo		1999	PMC2935423	
5342	BMC Health Serv Res		2008	PMC2753327	
5343	plosone	Tsinghua University, China	2008	PMC2820099	
5344	J. Exp. Med	From the	1996	PMC2196333	
5345	Arthritis Res Ther		2004	PMC2911875	
5346	nar		1993	PMC2504310	
5347	JSLS	Faculté de Médecine Necker-Enfants Malade, Paris, France	1997	PMC3015437	
5348	Prev Chronic Dis	Georgia Department of Human Resources, Atlanta, Georgia	2008	PMC2687847	
5349	plosbiol	University of York, United Kingdom	2004	PMC1865563	
5350	CRP		2002	PMC3051153	The SAP group consisted of 52 male and 30 female (total 82, mean age  61.3 ± 6.5 years); the USAP group had 50 male and 30 female (total 80 mean age 60.8 ± 9.8 years); the STEMI patients included 72 male and 34 female (total 106, mean age 60.22 ± 12.7 years).
5351	BMC Dev Biol		1988	PMC514702	
5352	ndt		2009	PMC3107766	
5353	nar		2005	PMC2175314	
5354	plosone	Weill Cornell Medical College of Cornell University, United States of America	2009	PMC3022749	
5355	BMC Struct Biol		2000	PMC2714319	
5356	Arthritis Res Ther		2001	PMC3046540	
5357	Nutr J		1997	PMC2164947	
5358	BMC Med Educ		2006	PMC2825237	
5359	Ann Surg Innov Res		2000	PMC2790448	
5360	Genome Biol		2007	PMC2760871	
5361	plosone	Mt. Alison University, Canada	1999	PMC3018476	
5362	Br J Cancer		1993	PMC2359966	
5363	BMC Cancer		2006	PMC2564977	MethodsPatients and samplesSpecimens of primary breast carcinomas were obtained by surgical excision from 127 female patients who received treatment at the Department of Breast and Endocrine Surgery, Nagoya City University Hospital, Nagoya, Japan, between 1993 and 2000.
5364	Drug Design, Development and Therapy		2000	PMC2998804	
5365	Eur J Dent		1986	PMC2897857	
5366	Br J Cancer		2000	PMC2376923	
5367	Health Res Policy Syst		2010	PMC3053266	
5368	plosntds	Centers for Disease Control and Prevention, United States of America	2001	PMC2586652	
5369	Crit Care		2004	PMC1414044	
5370	BMC Mol Biol		2000	PMC2645402	
5371	J Exp Clin Cancer Res		2001	PMC3012038	
5372	nar		2008	PMC3074157	
5373	plosone	University of Glasgow, United Kingdom	1998–2007	PMC3001856	
5374	Mol Psychiatry		2005	PMC3021090	
5375	Arthritis Res Ther		2003	PMC2592792	Materials and methodsSample selectionSera from 66 patients with RA (mean age +/- SD 62.5 +/- 9.13 years; range 42 to 88 years; 52 females; 14 males) was examined in this study.
5376	MV		2004	PMC2765236	
5377	plosone	Swiss Federal Institute of Technology Lausanne, Switzerland	1997	PMC2635968	
5378	plosone	University of Illinois at Chicago, United States of America	2010	PMC3143152	
5379	MV		2005	PMC2805422	
5380	Mol Cancer		2009	PMC2924313	
5381	J Exp Clin Cancer Res		2005	PMC2933612	
5382	J. Cell Biol	 	1997	PMC2172649	
5383	WestJEM		1996	PMC2941369	
5384	Exp Brain Res		2006	PMC3102210	
5385	Cancer Cell Int		2002	PMC2584620	
5386	J Ethnobiol Ethnomed		1996	PMC1379633	
5387	Prev Chronic Dis	University of Miami School of Medicine, Miami, Florida. At the time of this research, Dr Weaver was affiliated with Wake Forest University Health Sciences, Winston-Salem, North Carolina	2004	PMC2901579	
5388	plosone	The Rockefeller University, United States of America	2006	PMC2481403	
5389	BMC Cancer		2007	PMC2903527	
5390	BMC Syst Biol		2005	PMC2649034	
5391	Theor Biol Med Model		1954	PMC1629012	
5392	Environ. Health Perspect		2006	PMC2430238	
5393	BMC Vet Res		2006	PMC2375862	
5394	plosone	University of Barcelona, Spain	2006	PMC3024403	
5395	Virol J		2006	PMC3073888	
5396	Nucleic Acids Research		2004	PMC1524918	
5397	101238455		2005	PMC2922737	
5398	Retrovirology		2006	PMC2959035	
5399	plosone	Centre for DNA Fingerprinting and Diagnostics, India	1998	PMC2082073	
5400	BMC Musculoskelet Disord		2007	PMC2656456	
5401	Ann Surg Oncol		2003	PMC2277449	
5402	mBio	Laboratory of Molecular Biology, National Cancer Institute, National Institutes of Health, Bethesda, Maryland, USA	2000	PMC3172693	
5403	plosone	Bauer Research Foundation, United States of America	1995	PMC2680980	
5404	CMJ		2006	PMC3122958	
5405	J Transl Med		1996	PMC2734756	
5406	Cancer Cell Int		1980	PMC1501059	
5407	Lipids Health Dis		2002	PMC555960	
5408	BMC Cell Biol		2003	PMC2826298	
5409	plosone	New York University School of Medicine, United States of America	2003	PMC2265256	
5410	MI		1986	PMC1775032	
5411	plosone	University of Minnesota, United States of America	1996	PMC2956647	
5412	Int Urogynecol J		2008	PMC2977052	
5413	ploscomp	Fox Chase Cancer Center, United States of America	1999	PMC2950675	
5414	Eur Radiol		2010	PMC3101344	Materials and methodsTen human elbow joints were obtained from 7 fresh frozen cadavers (6 males and 1 female, age at death: 58–92 years old).
5415	BMC Public Health		1998	PMC3056746	
5416	Nucleic Acids Research		2005	PMC1160181	
5417	BMC Bioinformatics		2003	PMC2918583	
5418	Br J Cancer		1994	PMC2395285	The group consisted of 80 men and 30 women with a mean age of 59.6 years (range 39–78).
5419	IN		1995	PMC2803299	
5420	J Int Soc Sports Nutr		2010	PMC3141631	A total of 42 women met initial phone screening criteria and were invited to familiarization sessions.
5421	J Int Soc Sports Nutr		2010	PMC3141631	Of these, 32 women met entrance criteria and were medially-cleared to participate in the study by a research nurse and their personal physician.
5422	J Int Soc Sports Nutr		2010	PMC3141631	A total of 30 women completed the study.
5423	Crit Care		1991	PMC2374626	
5424	J. Cell Biol	Department of Biological Chemistry, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21205	1996	PMC2132891	
5425	Int J Nanomedicine	University of Strasbourg, Faculty of Pharmacy, Illkirch Cedex, France; UMR CNRS 7199, Laboratoire de Conception et Application de Molécules Bioactives, équipe de Pharmacie Biogalénique, Illkirch Cedex, France	2001	PMC2963933	
5426	BMC Palliat Care		2005	PMC3073937	
5427	plosone	Newcastle University, United Kingdom	2004	PMC1892804	
5428	J. Cell Biol	Cancer Research Campaign Molecular and Cellular Pharmacology Group, School of Biological Sciences, University of Manchester, Manchester M13 9PT, United Kingdom	1996	PMC2148192	
5429	BMC Cancer		1994	PMC1351196	
5430	BMC Med Res Methodol		2001	PMC1590046	
5431	Br J Cancer		2004	PMC2778529	
5432	BOE	School of Optometry, Indiana University, 800 East Atwater Avenue, Bloomington, Indiana 47405, 	1983	PMC3130583	
5433	jfds		2006	PMC2992692	
5434	IJCCM		2009	PMC3145310	
5435	plospath	The Salk Institute for Biological Studies, United States of America	2007	PMC3040670	
5436	plosone	Rikagaku Kenkyūsho Brain Science Institute, Japan	2009	PMC3157479	
5437	J Occup Rehabil		2008	PMC2832874	
5438	BMC Infect Dis		2004	PMC1552074	Anemia was defined when hemoglobin < 13 g/dL in males and < 11.8 g/dL in females.
5439	J Biol Eng		1993	PMC2569007	
5440	EID	University of Iowa College of Public Health, Iowa City, Iowa, USA	1989	PMC2634616	
5441	J Cardiovasc Magn Reson		2011	PMC3106962	
5442	BMC Cancer		2003	PMC2749869	
5443	plosgen	Fred Hutchinson Cancer Research Center, United States of America	2003	PMC3140991	
5444	Source Code Biol Med		2009	PMC3071313	
5445	nar		2010	PMC3125768	
5446	Neth Heart J		2003	PMC3144333	
5447	MV	State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, People’s Republic of China	2001	PMC2576482	MethodsPatientsThere are 15 patients and 7 carriers participated in this study (Figure 1, Table 1), further more, 100 normal male controls mainly from the South of China also take part in, all these people are collected by our Pediatric and Genetic Clinic of Zhongshan Ophthalmic Center.
5448	ploscomp	Center for Genomic Regulation, Spain	2005	PMC2639721	
5449	AAPS PharmSciTech		2004	PMC2974134	
5450	BMC Psychiatry		1989	PMC1183226	
5451	BMC Med Inform Decis Mak		2005	PMC2846873	
5452	J Orthop Surg Res		1992	PMC3014894	
5453	Mol Cancer		2008	PMC3064653	
5454	JHPN		2009	PMC2928096	
5455	Int J Equity Health		2001	PMC324414	
5456	International Journal of Nanomedicine		2000	PMC1351208	
5457	jprobs	Departments of Biochemistry and Chemistry, Vanderbilt University, Nashville, Tennessee 37232-0146	2005	PMC2664612	
5458	J Negat Results Biomed		2004	PMC2596078	
5459	Br J Cancer		2006	PMC3078603	
5460	Med Biol Eng Comput		2007	PMC2688616	
5461	plosone	Brunel University, United Kingdom	2007	PMC3040743	
5462	Cardiovasc Ultrasound		1988	PMC1351259	
5463	BMC Clin Pathol		2004	PMC1762006	
5464	jcb	Institute of Biotechnology, University of Helsinki, 00014 Helsinki, Finland	2001	PMC2064081	
5465	BMC Public Health		2005	PMC1851952	To detect this 10% difference in sick leave, a minimum of 275 women is required per group.
5466	BMC Public Health		2005	PMC1851952	A total of at least 550 women is needed for the entire study.AnalysisFor the RCT, data will be analysed using statistical tests such as linear regression analysis and Cox regression analysis.
5467	Cardiovasc Diabetol		2002	PMC3142487	
5468	Malar J		2005	PMC1665467	
5469	plosone	Mayo Clinic, United States of America	2010	PMC3169615	
5470	DRP		2007	PMC2902045	
5471	Br J Cancer		1998	PMC2658543	In this analysis, we included 121 216 women who were California residents, were under the age of 85 years at baseline and had no prior history of a haematopoietic malignancy.
5472	BMC Bioinformatics		2001	PMC446182	
5473	plosone	University of Pennsylvania School of Medicine, United States of America	2003	PMC2776969	
5474	plosone	Sun Yat-sen University Medical School, China	2009	PMC3079737	
5475	BMC Bioinformatics		2004	PMC2873541	
5476	Ann Biomed Eng		2001	PMC3069312	
5477	Respir Res		1968	PMC1594576	
5478	Br J Cancer		2003	PMC2570523	
5479	Eur J Nucl Med Mol Imaging		1991	PMC3005123	
5480	Stem Cell Rev		1999	PMC2803263	
5481	plosgen	The Babraham Institute, United Kingdom	2009	PMC2944787	Testis (n = 4) and cerebella (n = 3 for male and female) were dissected from a subset of mice used for blood extraction.
5482	Curr Control Trials Cardiovasc Med		1996	PMC59645	
5483	Br J Cancer		2004	PMC3048211	
5484	nar		1992	PMC2686579	
5485	Genome Biol		2000	PMC2646273	
5486	Genome Biol		2005	PMC1779520	
5487	UPS		1987	PMC2852777	
5488	BMC Cancer		2001	PMC2939553	
5489	Br J Cancer		2003	PMC2410125	
5490	Int J Behav Nutr Phys Act		2008	PMC2914072	After cleansing and editing the data, a total of 54 participants (women, n = 20) were included in the analyses.
5491	Int J Behav Nutr Phys Act		2008	PMC2914072	Of these participants, 44 (women, n = 16) yielded data in both inner urban and suburban environments.
5492	Int J Behav Nutr Phys Act		2008	PMC2914072	Twenty-eight experts returned the questionnaire, and data from a total of 24 experts (women, n = 11) could be included in the analyses (1 did not complete the questionnaire and 3 misinterpreted the instructions).
5493	Int J Behav Nutr Phys Act		2008	PMC2914072	Initially, we tested whether gender affected differences between ratings of inner urban and suburban environments (women, n = 16, and men, n = 28).
5494	Int J Behav Nutr Phys Act		2008	PMC2914072	First, we tested whether there were any significant gender differences in test and retest values, respectively (in total, women, n = 20, and men, n = 34).
5495	BOE		2008	PMC3018055	
5496	plosone	University of Tor Vergata, Italy	2002	PMC3017551	
5497	Biol Proced Online		1999	PMC145560	
5498	BMC Psychiatry		2004	PMC514553	
5499	Mol. Bio. Cell	University of Wisconsin	1993	PMC3057698	
5500	Proteome Sci		1997	PMC1513550	
5501	BMC Fam Pract		1995	PMC2653480	
5502	ECAM		2008	PMC3135870	
5503	BMC Genomics		2005	PMC2722678	
5504	nar		2001	PMC2875024	
5505	ploscomp	Indiana University, United States of America	2005	PMC2683575	However, we will again present the description of these adults in detail here in order to clearly present our current investigation.Seventy-nine normal subjects (44 males and 35 females, mean age = 23.8 years, range = 17–33 years) were recruited by advertisement.
5506	Br J Cancer		1992	PMC2377137	
5507	plosone	U.S. Naval Medical Research Center Detachment/Centers for Disease Control, United States of America	2007	PMC2602849	
5508	J. Cell Biol	Max-Delbrück-Centrum für Molekulare Medizin, D-13122 Berlin, Germany	1992	PMC2132869	
5509	BMC Cancer		1996	PMC2910693	
5510	BMC Genomics		2006	PMC1929077	
5511	plosone	Université Pierre et Marie Curie, France	2002	PMC3154467	
5512	J. Cell Biol	Laboratory of Cell Biology, Howard Hughes Medical Institute, The Rockefeller University, New York, NY 10021	1999	PMC2172596	
5513	biot		2010	PMC3123466	
5514	plosone	Pohang University of Science and Technology, Republic of Korea	2008	PMC3100307	
5515	YMJ	Biomolecular Science Center, Burnett School of Biomedical Sciences, University of Central Florida, Orlando, FL 32826, USA.	2008	PMC2615374	
5516	J. Cell Biol	 	1990	PMC2150704	
5517	jcb	 	1999	PMC2064079	
5518	J Ovarian Res		2007	PMC3143084	
5519	plosone	University of Reading, United Kingdom	2005	PMC3094353	
5520	Nucleic Acids Research		2003	PMC1201329	
5521	Mol Cancer		2009	PMC2908582	
5522	Adv Drug Deliv Rev		2008	PMC2906696	
5523	BMC Bioinformatics		2004	PMC2697633	
5524	JBB		2002	PMC2744883	
5525	Breast Cancer Res		2003	PMC2790858	
5526	Mol Imaging Biol		2003	PMC2946565	
5527	JO		2006	PMC2926670	
5528	Acta Cryst. D		2009	PMC2852299	
5529	bmj		2008	PMC3016816	
5530	plosgen	Massachusetts General Hospital, United States of America	2004	PMC1988850	
5531	Respir Res		2008	PMC2753584	
5532	BMC Bioinformatics		2001	PMC2942858	
5533	Mol Cancer		2006	PMC3130697	
5534	nar		2002	PMC2703929	
5535	nar		2006	PMC2686460	
5536	BMC Cancer		2002	PMC548501	
5537	J. Cell Biol	Cell Biology and Genetics Program, Sloan-Kettering Institute for Cancer Research, New York, 10021	1994	PMC2132482	
5538	plosone	The University of Hong Kong, Hong Kong	2005	PMC2816214	
5539	BMC Bioinformatics		2004	PMC2638151	
5540	plosone	The University of Hong Kong, Hong Kong	2008	PMC2757721	
5541	Environ Sci Pollut Res Int		2002	PMC2854360	
5542	BMC Cancer		1999	PMC2881889	
5543	BMC Evol. Biol		2007	PMC2528015	
5544	plosone	University of California, Berkeley, United States of America	2009	PMC2766031	
5545	plosmed	Oxford University Clinical Research Unit, Viet Nam	2008	PMC2726436	
5546	plosone	University of Birmingham, United Kingdom	1997	PMC2909920	
5547	Scientometrics		2009	PMC3111734	
5548	BMC Genomics		2004	PMC3053261	
5549	Acta Cryst. D		2011	PMC3107051	
5550	BMC Evol Biol		2004	PMC1796609	
5551	plosntds	Centers for Disease Control and Prevention, United States of America	2006	PMC2826407	
5552	plosone	Tulane University Health Sciences Center, United States of America	2007	PMC2966431	
5553	jcb	 	2000	PMC2265407	
5554	plosone	Charité-Universitätsmedizin Berlin, Germany	2005	PMC2814858	
5555	jcb	Department of Molecular Biology and Genetics, Cornell University, Ithaca, NY 14853	1997	PMC2064679	
5556	BMC Genomics		2008	PMC3038171	
5557	Nucleic Acids Research		2004	PMC1180746	
5558	plosone	Baylor College of Medicine, United States of America	2000	PMC2830886	
5559	Lipids Health Dis		2008	PMC2877049	The patients (age: 46 to 76 years; 3 men, 2 women) had an advanced liver cirrhosis and preserved renal function.
5560	Lipids Health Dis		2008	PMC2877049	As a control group, we accessed five healthy volunteers from among our hospital staff (age: 25 to 51; 3 men, 2 women).
5561	plosone	Dalhousie University, Canada	2009	PMC3081349	
5562	Biomed Eng Online		1995	PMC1215494	
5563	plosone	Memorial Sloan-Kettering Cancer Center, United States of America	2005	PMC2570792	
5564	Mol Syst Biol		2000	PMC2736652	
5565	plosntds	National Institutes of Health, United States of America	1995	PMC3156684	
5566	BMC Public Health		2004	PMC1539005	
5567	Nucleic Acids Research		2002	PMC1388098	
5568	JHRS	Division of Reproductive Medicine, Department of Obstetrics and Gynecology, Kasturba Medical College, Manipal University, Manipal-576104 Karnataka, India	1999	PMC2890902	
5569	plosone	Albert Einstein Institute for Research and Education, Brazil	2006	PMC2829087	
5570	BMC Res Notes		2001	PMC2993727	
5571	plosone	Griffith University, Australia	2009	PMC3032776	
5572	AIDS Res Ther		2002	PMC2248203	
5573	plosone	University of South Florida College of Medicine, United States of America	2005	PMC3163686	
5574	BMC Cancer		2009	PMC3149028	
5575	bioinfo		2000	PMC2887045	
5576	Nucleic Acids Research		1997	PMC549403	
5577	plosone	Virginia Industries for the Blind, Belgium	2008	PMC3060818	
5578	MV		2007	PMC2802291	
5579	plosone	Ordway Research Institute, United States of America	1989	PMC2579578	
5580	Oncogene		2007	PMC2997941	
5581	plosone	Macquarie University, Australia	2000	PMC2715165	MethodsSubjectsA total of 35 healthy right-handed subjects took part: 13 (8 males, mean age 24 years) in study 1, 13 (9 males, mean age 26 years) in study 2, and 9 (6 males, mean age 23 years) in the object control study (study 3).
5582	plosone	Indiana University, United States of America	2005	PMC2248624	
5583	Radiat Oncol		1997	PMC3096921	
5584	plosone	Ecole Polytechnique Federale de Lausanne, Switzerland	2008	PMC3084870	Materials and MethodsParticipants, Stimuli and ApparatusSixteen naïve participants took part in the study (8 males, mean age 23).
5585	BMC Med Educ		2006	PMC2614986	MethodsParticipants and materialsStudentsThere were 86 students attending the fourth semester of the EPC course: 51 women and 35 men.
5586	Br J Cancer		2005	PMC2527820	
5587	Nutr J		1998	PMC506781	
5588	Br J Cancer	Investigative Treatment Division, National Cancer Center Research Institute East, 6-5-1, Kashiwanoha, Kashiwa, Chiba 277-8577, Japan	1986	PMC2376165	
5589	MV		1999	PMC2901194	
5590	Br J Cancer		2007	PMC2634711	
5591	plosone	University Paris Sud, France	1972	PMC3033418	
5592	Med Eng Phys		jul 2007	PMC2989441	
5593	101238455		2002	PMC3137996	392 (58.42%) female and 279 (41.58%) male respondents were included.The second dataset was employed to assess changes in participants’ ratings of the dimensions of the ICRE.
5594	101238455		2002	PMC3137996	Respondents’ (n = 120) ages ranged from 24 to 65 years (Mean = 43; SD = 10.9), and the sample comprised 78 (65%) women and 42 (35%) of men (Table 4).
5595	101238455		2002	PMC3137996	The mean age was 45 (SD = 10.51), and the sample consisted of 73 (63.48%) women and 42 (36.52%) of men.2.2.Instruments: Questionnaire (Mobilization Scale–Individual)There are few instruments that measure ICRE.
5596	plosone	University of Sao Paulo, Brazil	2008	PMC3004866	
5597	plosone	University of Bergen, Norway	2007	PMC3030582	
5598	BMC Biol		2004	PMC1601965	
5599	plosone	INSERM U1016, Institut Cochin, France	2004	PMC2887440	
5600	Radiat Oncol		2009	PMC2764721	
5601	MV		1986	PMC2267690	
5602	BMC Genet		2004	PMC1866770	
5603	MV	LOEX/CUO recherche, Centre hospitalier affilié universitaire de Québec, Hôpital du Saint-Sacrement, and Département d’ophtalmologie, Faculté de médecine, Université Laval, Québec, Québec, Canada	2004	PMC3107995	
5604	MV	Department of Ophthalmology, Duke University, Durham, NC	2007	PMC2654047	
5605	Breast Cancer Res		2006	PMC2614524	
5606	Environ. Health Perspect		1998	PMC3018494	
5607	BMC Bioinformatics		1997	PMC2212667	
5608	ecam		1944	PMC2686635	
5609	Mol Syst Biol		2006	PMC2615303	
5610	plosone	Science Commons, United States of America	2000	PMC2835735	
5611	BMC Genomics		1996	PMC2014781	
5612	plosbiol		2003	PMC521174	
5613	Reprod Biol Endocrinol		2001	PMC2822784	
5614	JBB	Laboratory of Eukaryotic Gene Expression (LEGEST),  Department of Physiology,  Ghent University,  K.L. Ledeganckstraat 35,  9000 Ghent, Belgium	1993	PMC2829628	
5615	Bioprocess Biosyst Eng		1992	PMC1705492	
5616	plosone	University of Texas MD Anderson Cancer Center, United States of America	1997	PMC2713828	
5617	Virol. J		1997	PMC2805635	
5618	JBB		2005	PMC2715898	
5619	plosone	Universitätsklinikum Schleswig-Holstein - Campus Luebeck, Germany	2009	PMC3095619	
5620	plosone	Ludwig Maximilians University Munich, Germany	1999	PMC2762079	
5621	PI		1994	PMC2796010	
5622	BMC Genomics		2001	PMC152649	
5623	Arthritis Res Ther		1996	PMC1526547	
5624	plosone	Agency for Science, Technology and Research (A*STAR), Singapore	2005	PMC2845622	Materials and MethodsCollection of pre-nodal lymph and plasmaSubjectsEighteen healthy males aged 22 to 36 years were studied.
5625	BMC Genomics		1980	PMC3097165	
5626	BMC Biochem		2003	PMC1475587	6 month old male Sprague-Dawley rats were sacrificed by asphyxiation using CO2.
5627	BMC Bioinformatics		2004	PMC2442844	
5628	plosbiol	University of Rochester Medical Center, United States of America	2004	PMC2826371	
5629	Malar J		1993	PMC184523	
5630	J Neuroinflammation		1996	PMC483057	
5631	J Clin Bioinforma		2010	PMC3164614	
5632	plosntds	Hospital Universitário, Brazil	2008	PMC3050903	
5633	Hum Resour Health		2000	PMC471573	
5634	Nucleic Acids Research		2002	PMC1904274	
5635	jrgs	Michael E. DeBakey Department of Surgery, and Department of Molecular & Cellular Biology, Baylor College of Medicine, Houston, TX 77030, USA	2003	PMC2737199	
5636	Crit Care		2011	PMC3066937	
5637	BMC Bioinformatics		2003	PMC1810324	
5638	Environ. Health Perspect		2003	PMC1367827	
5639	J Transl Med		2006	PMC3162511	
5640	plosgen	Lawrence Livermore National Laboratory, United States of America	2003	PMC2077895	
5641	Int Breastfeed J		2001	PMC2628335	
5642	Arthritis Res Ther		2007	PMC2575614	
5643	dme		1997	PMC1619898	A total of 378 Type 2 diabetic outpatients (28–88 years of age, 210 men and 168 women) were enrolled.
5644	dme		1997	PMC1619898	A total of 334 non-diabetic subjects (17–89 years of age, 206 men and 128 women) who underwent a medical check-up in our hospital from April 2001 to December 2003 served as the control group.
5645	BMC Cancer		1996	PMC544192	
5646	Biologics: Targets & Therapy		2006	PMC2802074	
